Categories;Categories 1;Categories 2;Categories 3;Continents;Country;En el TOP;Rank Tops;Table Names;Username;Comments;Engagement;Likes;Nº Total Channels;Rank;Suscribers;Total Suscribers;Visits
;;;;Ásia;India;True;Top 101-500;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;Rajshri;3;0,000345821;117;1;116;34700000;34700000;11000
;;;;Ásia;Tailandia;True;Top 101-500;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;Ch3Thailand;10;0,002066860;701;1;117;34400000;34400000;30400
Animación;Animación;Videojuegos;;América del Sur;Colombia;True;Top 101-500;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;jbalvin;51;0,004813411;1600;1;118;34300000;34300000;18600
Animación;Animación;Humor;;América del Norte;Estados Unidos;True;Top 101-500;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;SSSniperWolf;0;0,096198830;32900;1;119;34200000;34200000;1300000
Películas;Películas;Animación;;Ásia;Indonesia;True;Top 101-500;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;FrostDiamond;321;0,043297059;14400;1;120;34000000;34000000;358300
Películas;Películas;Animación;;América del Norte;México;True;Top 101-500;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;vegetta777;212;0,079681416;26800;1;121;33900000;33900000;459300
Animación;Animación;Juguetes;;;;True;Top 101-500;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;babybus;0;0,001823009;618;1;122;33900000;33900000;386400
Animación;Animación;Humor;;;;True;Top 101-500;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;WowKidz1;0;0,000872781;295;1;123;33800000;33800000;50500
;;;;Ásia;India;True;Top 101-500;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;MRINDIANHACKER;17000;1,365578635;443200;1;124;33700000;33700000;5100000
Música y baile;Música y baile;Películas;;América del Norte;Estados Unidos;True;Top 101-500;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;DisneyMusicVEVO;26;0,001881306;608;1;125;33700000;33700000;19600
;;;;Ásia;Filipinas;True;Top 101-500;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;gmanetwork;0;0,000172619;58;1;126;33600000;33600000;1600
Música y baile;Música y baile;;;América del Sur;Colombia;True;Top 101-500;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;KarolG;5200;0,400892857;129500;1;127;33600000;33600000;4500000
;;;;Ásia;India;True;Top 101-500;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;KHANDESHIMOVIES;237;0,063205357;21000;1;128;33600000;33600000;3500000
Música y baile;Música y baile;;;América del Norte;Estados Unidos;True;Top 101-500;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;NoCopyrightSounds;81;0,0086;2800;1;129;33500000;33500000;55100
;;;;Ásia;India;True;Top 101-500;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;ShortsBreak_Official;629;1,682721557;561400;1;130;33400000;33400000;10200000
Animación;Animación;Humor;;América del Norte;Estados Unidos;True;Top 101-500;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;LucasandMarcus;341;0,058081083;19000;1;131;33299999;33299999;542800
Noticias y Política;Noticias y Política;;;Ásia;India;True;Top 101-500;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;zeenews;7;0,000655589;210;1;132;33100000;33100000;12200
Juguetes;Juguetes;;;;;True;Top 101-500;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;PeppaPigOfficial;0;0,001930303;637;1;133;33000000;33000000;136200
Música y baile;Música y baile;;;Ásia;India;True;Top 101-500;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;WorldwideRecordsBhojpuri;30;0,002550152;809;1;134;32900000;32900000;24700
Películas;Películas;Humor;;Ásia;India;True;Top 101-500;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;MrBean;57;0,004790769;1500;1;135;32500000;32500000;178200
Animación;Animación;Juguetes;;;;True;Top 101-500;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;dianaandromaesp;0;0,007098765;2300;1;136;32400000;32400000;1200000
Películas;Películas;;;América del Sur;Brasil;True;Top 101-500;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;rezendeevil;111;0,032851394;10500;1;137;32299999;32299999;194200
Animación;Animación;Humor;;América del Norte;Estados Unidos;True;Top 101-500;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;zhong;2000;0,152941181;47400;1;138;32299999;32299999;1900000
Música y baile;Música y baile;;;América del Norte;Estados Unidos;True;Top 101-500;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;SMTOWN;2400;0,119504648;36200;1;139;32299999;32299999;314600
;;;;América del Norte;Estados Unidos;True;Top 101-500;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;dona_mukbang;99;0,014015576;4400;1;140;32100000;32100000;705100
